,Ala,Asc,Asp,Cr,GABA,GPC,GSH,Glc,Gln,Glu,Ins,Lac,Mac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,gamma_0,sigma_0,eps_0,Phi0,Phi1,B_real_0,B_imag_0,B_real_1,B_imag_1,B_real_2,B_imag_2,Cr+PCr,Glu+Gln,GPC+PCh,Glc+Tau,NAA+NAAG,SNR,noise_sd
0,0.010524226125869895,0.17797483234269076,0.11184170427937934,0.2201594490973711,0.11483198770568105,0.02880239779852706,0.095702057906534,0.01292930077734548,0.011569482820906172,0.37297250877679544,0.36319905217920206,0.040814115371701855,0.30650580314145487,3.6154995017024727,0.01398968814590765,0.03364341155818539,0.24738624713714427,0.01657107009225582,0.02007546829344146,0.11377085487701781,24.491994368011223,0.09572710810168125,-0.0004163979566981891,-0.00026924360893698185,-3.512842766682583e-07,-0.00035336960933737057,0.0006126577308668062,0.0014620711374003779,-0.0018110345386333452,0.00029888568240191344,-0.0033441558723185444,0.46754569623451536,0.38454199159770164,0.062445809356712456,0.1267001556543633,3.6294891898483805,3613.736840843149,0.10446395056766786
1,0.010476692329553146,0.17794305633692914,0.11220168725597947,0.21999135479106358,0.11484800980222445,0.028988714957740823,0.095911047928094,0.012704458447906781,0.011496018801859926,0.37322600178389326,0.3632588810039052,0.04089889570495916,0.306242240123203,3.6157524834522414,0.01387723776682626,0.033391313112128104,0.24766466102368864,0.01705196829834422,0.020050203361124598,0.11388228703158063,24.493590071091223,0.08525092424364628,-0.000573706920243828,0.00011246837982273244,1.1418392565523105e-07,4.8777316499615914e-05,-0.0004787840647509962,-0.0011947132148172309,-9.891962964490867e-05,-0.0006089748028326208,0.002577478645981624,0.46765601581475225,0.38472202058575317,0.06238002806986893,0.1265867454794874,3.6296297212190676,3675.8967438506556,0.10473931203589162
2,0.010466009772083161,0.1779716740713678,0.11188799626628788,0.22006871155611346,0.11468851746938703,0.0289695402593088,0.09593529122666172,0.012719829396183572,0.011585753832588702,0.3732073321749953,0.36321819888597445,0.04077633478828448,0.3065098371124695,3.6159960875939405,0.013736966490046196,0.03344331374045272,0.24759559378400947,0.01694081588871433,0.020008898905320312,0.11398353864953373,24.495017361547916,0.10846812540279306,-0.0008742304951075952,-8.577870076750627e-05,-1.2349276744537022e-07,-0.0009003942000371006,-0.00043777064259189054,-0.00036175072312973083,-0.000326911702329189,0.0005692057235411859,0.00024250582794836423,0.46766430534012293,0.384793086007584,0.06241285399976152,0.1267033680457173,3.629733054083987,3521.282478564278,0.1049013131311165
3,0.010378319814469699,0.17809414196864792,0.11191886657127369,0.2197061641501798,0.11486227987857305,0.028813486562344746,0.09574823605021389,0.012786874034772338,0.011551058328200348,0.3730149687973162,0.36319309885759277,0.04087544994325801,0.30660205766049026,3.615797029308739,0.013827039079894776,0.033592396966149116,0.2479234694710063,0.016987744210596924,0.02003569433171932,0.11378689151885939,24.49538094350694,4.46168451857798e-06,-0.0015283821492890425,0.00026430282476592467,3.425678727486986e-07,0.00013864331942657995,-8.415998951556063e-05,-0.00011781304259821364,0.0014782534402729434,0.0008872978793448667,0.0009677069952963686,0.4676296336211861,0.3845660271255166,0.06240588352849386,0.12657376555363173,3.629624068388634,3671.8604062952822,0.1047185489745277
4,0.010396812634927702,0.1780548772850467,0.11206133564816229,0.22009320786409867,0.11488563742361929,0.028800205019852303,0.0957242187754402,0.01271736845315711,0.011559801029149455,0.37284124720601125,0.3632678394418,0.040829338596772013,0.30683224762988437,3.615773019920643,0.013798537673183469,0.033590880712858984,0.24750170204423527,0.016848724944085864,0.020016275118090898,0.11388345272658906,24.494739547945922,0.0,-0.0005293767237901916,-3.867246988438008e-05,-4.805355731997583e-08,-0.0006623668961160455,-3.9696227388293505e-06,0.0003861261336445525,0.0003128638438637444,0.00025193746805601266,6.694961551390188e-05,0.46759490990833397,0.3844010482351607,0.062391085732711286,0.12660082117974616,3.629571557593826,3566.2834397775023,0.10520937607035556
5,0.010409880866820605,0.17805256025188734,0.11183565057487538,0.21990997347194413,0.11490235548030477,0.029017056559067018,0.09570165387287151,0.01285630910672107,0.011700433602576157,0.37291192475182444,0.3632052437709335,0.04084073711004163,0.3064711207142606,3.6156392599292166,0.013903869713878397,0.03341106026136232,0.24765189997605536,0.01664868295391518,0.02004470393980362,0.11366794711234354,24.492858982966137,0.12564372067091997,-0.0003719272713065359,-0.00023670222914799047,-3.257846475343205e-07,-0.0004746379520331205,5.037398629740777e-05,0.001707155006271176,-0.000925486122621341,-0.001141332552247774,-0.002430800628442301,0.4675618734479995,0.3846123583544006,0.06242811682042934,0.1265242562190646,3.629543129643095,3646.694648025342,0.10477132942321124
6,0.010473131000198869,0.17771062119811504,0.1114653569569906,0.22010081303407816,0.11496869268838049,0.028966282919451136,0.09570911258468698,0.012807200785109486,0.011628748809649904,0.37329598990325247,0.3630845884015533,0.04081518681934278,0.3061426654826345,3.6156277397484096,0.013799165311010542,0.03338817126589392,0.2474953337332091,0.016989944358209986,0.019952049983497623,0.11382056620282965,24.49245725293442,0.1392802610844437,-1.2779595300152659e-05,-0.0004417042951304361,-5.678336463001648e-07,0.0007836040527665583,0.000376277490367496,0.000829253836599255,-0.0013828182850932906,-0.0004451118993412488,-0.002538178666249695,0.4675961467672872,0.3849247387129024,0.062354454185345055,0.12662776698793915,3.62942690505942,3638.1291268940563,0.10417425334272656
7,0.010431071368902733,0.17816170783976096,0.11177372510379036,0.22003311948738805,0.11494466364921657,0.028983824807837715,0.09576925030377884,0.012609029465356164,0.011594937903554009,0.3730375687681721,0.3631091390471649,0.04066644143178992,0.30657453648363064,3.6157840349740846,0.013840645264219638,0.033439388458891196,0.2475609337849088,0.01674857408561733,0.019995441563419095,0.11410294481349795,24.493557613507893,0.11734909549690756,-0.00013975289696783842,0.0003249735576078999,4.115667092760417e-07,0.0005688710070149186,8.054593516439238e-05,-0.0008295936392791136,0.001387036712950168,0.0019837457455618964,0.0012135281513154933,0.46759405327229686,0.3846325066717261,0.06242321326672891,0.1267119742788541,3.629624680238304,3647.9943551153474,0.10491517998205704
8,0.010471068185383375,0.17776043260510518,0.11132718898215595,0.22020633074423987,0.11492655706583194,0.02897227701404661,0.09574275504939962,0.013097178388700765,0.011401497964239596,0.3729987326067574,0.3630989614890778,0.040930059968681834,0.3060563728172292,3.615842517686152,0.013779793972481675,0.03334225282499033,0.2473500004951655,0.017121328959108673,0.02002348811494035,0.11361945194374778,24.49349730111567,0.1993581946362913,0.0023495484416611715,2.53983810936349e-05,1.5449347251197104e-07,0.0029855165079914815,0.00015471039859134988,0.0008465637545656756,-0.0021865835259785586,-0.00327069268828307,-0.00018946164740964416,0.4675563312394054,0.38440023057099704,0.06231452983903694,0.12671663033244854,3.6296223116586335,3601.5368737988974,0.10452766589429577
9,0.01040111238117671,0.17817544168649949,0.11192322086048377,0.2202347850995457,0.11483991047628067,0.028976780089370373,0.09592307540103706,0.012446067112787422,0.011425908949312013,0.37294639079354625,0.3632345328579844,0.04075191870559993,0.3066137573524888,3.615894133723272,0.013724261062983734,0.033481990405295294,0.24736288513139287,0.01665541059579394,0.020049894381494526,0.1140284708465179,24.49314606384329,0.2039300351727878,-0.0002046081950385762,8.747694837881217e-05,1.319779925278137e-07,-0.00031278534606713447,-2.1444785217475005e-07,-0.00012621455233577822,0.00010424441694926166,0.0006037032498094521,0.001024262501177144,0.46759767023093857,0.38437229974285825,0.062458770494665666,0.12647453795930533,3.6296183947862555,3505.7589780432004,0.10496789346220364
